country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29-03-2024 10:00,16.5150833,80.5181667,PM2.5,10,42,24
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29-03-2024 10:00,16.5150833,80.5181667,OZONE,1,34,8
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",29-03-2024 10:00,14.675886,77.593027,PM2.5,30,89,45
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",29-03-2024 10:00,14.675886,77.593027,CO,27,65,42
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",29-03-2024 10:00,13.20488,79.097889,PM10,NA,NA,NA
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",29-03-2024 10:00,13.20488,79.097889,NO2,NA,NA,NA
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",29-03-2024 10:00,13.20488,79.097889,NH3,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",29-03-2024 10:00,14.465052,78.824187,CO,8,42,23
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",29-03-2024 10:00,13.67,79.35,SO2,1,17,5
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",29-03-2024 10:00,13.67,79.35,CO,14,48,24
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",29-03-2024 10:00,13.615387,79.40923,PM2.5,13,226,48
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",29-03-2024 10:00,16.536107,80.594233,NO2,5,12,8
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",29-03-2024 10:00,16.536107,80.594233,NH3,4,4,4
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",29-03-2024 10:00,16.536107,80.594233,OZONE,2,28,8
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",29-03-2024 10:00,16.486692,80.699436,CO,34,66,46
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",29-03-2024 10:00,16.509717,80.612222,PM10,37,63,50
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",29-03-2024 10:00,16.509717,80.612222,OZONE,1,43,5
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",29-03-2024 10:00,16.554731,80.64911,SO2,10,19,14
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",29-03-2024 10:00,16.554731,80.64911,OZONE,6,28,10
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",29-03-2024 10:00,17.72,83.3,NO2,34,53,42
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",29-03-2024 10:00,17.72,83.3,NH3,3,7,4
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",29-03-2024 10:00,17.72,83.3,CO,12,101,20
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",29-03-2024 10:00,27.103358,93.679645,CO,8,33,10
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",29-03-2024 10:00,26.071318,91.87488,OZONE,6,13,11
India,Assam,Guwahati,"IITG, Guwahati - PCBA",29-03-2024 10:00,26.2028636,91.70046436,NO2,1,10,4
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",29-03-2024 10:00,26.10887,91.589544,PM2.5,65,369,238
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",29-03-2024 10:00,26.10887,91.589544,SO2,1,30,12
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",29-03-2024 10:00,26.1875,91.744194,PM2.5,34,211,88
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",29-03-2024 10:00,26.1875,91.744194,PM10,29,116,58
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",29-03-2024 10:00,26.1875,91.744194,NH3,4,7,5
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",29-03-2024 10:00,26.349082,92.68449,SO2,13,112,60
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",29-03-2024 10:00,26.349082,92.68449,CO,10,124,15
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",29-03-2024 10:00,26.446912,91.439057,PM2.5,32,287,101
India,Assam,Silchar,"Tarapur, Silchar - PCBA",29-03-2024 10:00,24.82827,92.79525,SO2,2,12,7
India,Assam,Silchar,"Tarapur, Silchar - PCBA",29-03-2024 10:00,24.82827,92.79525,CO,22,48,41
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",29-03-2024 10:00,26.987634,94.636574,NH3,1,1,1
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",29-03-2024 10:00,26.146529,87.454184,PM2.5,37,337,103
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",29-03-2024 10:00,26.146529,87.454184,NO2,7,9,7
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",29-03-2024 10:00,26.146529,87.454184,OZONE,7,10,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",29-03-2024 10:00,25.5626095,84.663264,NO2,4,30,18
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",29-03-2024 10:00,25.5626095,84.663264,SO2,15,22,18
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",29-03-2024 10:00,24.75746,84.366208,CO,55,70,64
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",29-03-2024 10:00,26.80365,84.51954,NH3,3,7,4
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",29-03-2024 10:00,26.80365,84.51954,CO,62,78,67
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",29-03-2024 10:00,25.251013,86.989001,NH3,8,13,10
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",29-03-2024 10:00,25.251013,86.989001,SO2,3,71,26
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",29-03-2024 10:00,25.251013,86.989001,OZONE,42,62,49
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",29-03-2024 10:00,25.265194,87.012947,OZONE,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB (Formerly known as Central Jail)",29-03-2024 10:00,25.56752,83.966379,PM2.5,NA,NA,NA
